,City,Lat,Lng,Max Temp.,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,41.0,81,75,10.36,AR,1619153035
1,mecca,21.4267,39.8261,87.51,29,18,4.68,SA,1619152493
2,cidreira,-30.1811,-50.2056,69.51,74,10,17.2,BR,1619152493
3,kodiak,57.79,-152.4072,42.8,87,90,10.36,US,1619152493
4,bluff,-46.6,168.3333,52.0,93,100,3.0,NZ,1619152208
5,port alfred,-33.5906,26.891,66.38,80,1,20.38,ZA,1619152494
6,rikitea,-23.1203,-134.9692,78.01,78,100,14.88,PF,1619152736
7,hermanus,-34.4187,19.2345,55.0,95,0,1.99,ZA,1619152494
8,banda aceh,5.5577,95.3222,86.4,65,99,12.48,ID,1619152495
9,avarua,-21.2078,-159.775,80.6,74,75,17.27,CK,1619153036
10,belmonte,-15.8631,-38.8828,73.4,88,75,4.61,BR,1619152495
11,nueva loja,0.0847,-76.8828,71.04,93,63,2.24,EC,1619152495
12,hobart,-42.8794,147.3294,57.2,54,75,9.22,AU,1619153037
13,atuona,-9.8,-139.0333,80.08,81,89,21.63,PF,1619152496
14,zhangye,38.9342,100.4517,61.7,23,91,21.92,CN,1619152496
15,bambous virieux,-20.3428,57.7575,77.0,94,75,11.5,MU,1619152236
16,tuatapere,-46.1333,167.6833,52.0,93,100,3.0,NZ,1619152497
17,monrovia,6.3005,-10.7969,73.4,94,75,6.4,LR,1619152497
18,punta arenas,-53.15,-70.9167,46.4,93,90,5.75,CL,1619152800
19,saint-philippe,-21.3585,55.7679,78.8,73,20,11.5,RE,1619153038
20,tuktoyaktuk,69.4541,-133.0374,10.4,79,20,1.97,CA,1619152718
21,butaritari,3.0707,172.7902,83.12,72,75,8.77,KI,1619153038
22,bredasdorp,-34.5322,20.0403,51.8,93,3,4.61,ZA,1619152800
23,ossora,59.2353,163.0719,32.27,93,75,3.33,RU,1619152801
24,ulladulla,-35.35,150.4667,71.6,30,0,5.75,AU,1619152801
25,tasiilaq,65.6145,-37.6368,30.2,55,90,3.44,GL,1619152802
26,cape town,-33.9258,18.4232,57.2,94,20,10.36,ZA,1619152519
27,georgetown,5.4112,100.3354,87.8,70,20,3.44,MY,1619152802
28,pareora,-44.4871,171.2132,61.0,77,100,11.05,NZ,1619152802
29,xinyang,32.1228,114.0656,68.47,66,95,9.95,CN,1619152803
30,sobolevo,54.4299,31.8996,42.98,80,100,9.08,RU,1619152804
31,lukovetskiy,64.2956,41.9211,37.4,87,75,4.47,RU,1619152804
32,saint-augustin,51.226,-58.6502,35.62,90,98,19.66,CA,1619152805
33,mataura,-46.1927,168.8643,52.0,93,100,3.0,NZ,1619152606
34,seoul,37.5683,126.9778,71.6,24,0,12.66,KR,1619152662
35,kavaratti,10.5669,72.642,83.8,67,14,4.41,IN,1619152759
36,thompson,55.7435,-97.8558,17.6,62,90,12.66,CA,1619152805
37,joniskelis,56.0253,24.1689,35.6,93,75,11.5,LT,1619152806
38,coquimbo,-29.9533,-71.3436,59.0,82,90,2.3,CL,1619153041
39,hamilton,39.1834,-84.5333,39.0,80,1,4.25,US,1619152806
40,bud,39.447,-86.1758,39.0,68,29,6.64,US,1619152807
41,ponta do sol,32.6667,-17.1,60.01,84,69,5.99,PT,1619152807
42,kavieng,-2.5744,150.7967,82.26,76,92,6.35,PG,1619152808
43,hithadhoo,-0.6,73.0833,83.23,70,90,5.59,MV,1619153042
44,praia da vitoria,38.7333,-27.0667,55.0,82,75,31.0,PT,1619152808
45,grand gaube,-20.0064,57.6608,77.0,80,100,8.99,MU,1619153053
46,chuy,-33.6971,-53.4616,65.08,81,99,10.49,UY,1619152906
47,ivdel,60.6911,60.4206,43.56,89,100,5.66,RU,1619153054
48,puerto ayora,-0.7393,-90.3518,75.99,95,46,5.37,EC,1619153054
49,bethel,41.3712,-73.414,39.2,52,75,10.36,US,1619153054
50,maragogi,-9.0122,-35.2225,76.73,86,18,2.89,BR,1619153055
51,lazaro cardenas,17.9583,-102.2,75.15,61,100,1.86,MX,1619153055
52,teya,60.3778,92.6267,37.42,70,43,3.2,RU,1619152931
53,pionerskiy,54.9508,20.2275,39.0,93,75,8.95,RU,1619153055
54,bengkulu,-3.8004,102.2655,83.55,63,54,6.2,ID,1619152974
55,hilo,19.7297,-155.09,78.8,61,40,8.05,US,1619152820
56,namibe,-15.1961,12.1522,79.93,76,47,1.25,AO,1619153056
57,vaini,-21.2,-175.2,82.4,89,40,4.61,TO,1619153056
58,lebu,-37.6167,-73.65,49.69,77,39,4.09,CL,1619152872
59,cabo san lucas,22.8909,-109.9124,73.0,48,100,13.98,MX,1619152845
60,verkhnechusovskiye gorodki,58.1671,57.1086,42.8,75,90,11.18,RU,1619153057
61,naze,28.3667,129.4833,75.2,60,75,23.02,JP,1619153058
62,ilulissat,69.2167,-51.1,26.6,68,17,5.75,GL,1619153058
63,buala,-8.145,159.5921,84.36,70,98,5.59,SB,1619153058
64,nemuro,43.3236,145.575,46.4,61,20,10.36,JP,1619152963
65,severo-kurilsk,50.6789,156.125,35.4,90,84,2.35,RU,1619153059
66,new norfolk,-42.7826,147.0587,57.2,54,75,9.22,AU,1619152907
67,bicas,-21.7253,-43.0594,57.99,94,22,4.59,BR,1619153059
68,cherskiy,68.75,161.3,17.98,86,95,5.26,RU,1619153060
69,xiamen,24.4798,118.0819,86.0,54,20,8.95,CN,1619153060
70,upernavik,72.7868,-56.1549,13.35,86,100,3.65,GL,1619153060
71,khorixas,-20.3667,14.9667,69.6,33,29,7.4,NA,1619153061
72,howell,42.6073,-83.9294,37.0,51,1,3.44,US,1619152916
73,provideniya,64.3833,-173.3,39.2,56,0,11.18,RU,1619153062
74,kapaa,22.0752,-159.319,75.2,78,40,9.22,US,1619153043
75,mvomero,-6.25,38.6667,80.6,83,75,10.36,TZ,1619153062
76,altamont,42.2068,-121.7372,48.2,37,1,14.97,US,1619152831
77,iqaluit,63.7506,-68.5145,21.2,86,90,2.3,CA,1619152783
78,roebourne,-20.7833,117.1333,89.71,20,0,13.44,AU,1619152969
79,chokurdakh,70.6333,147.9167,9.14,89,62,2.62,RU,1619153063
80,laguna,38.421,-121.4238,52.0,76,1,11.5,US,1619153063
81,lavrentiya,65.5833,-171.0,30.87,70,99,1.05,RU,1619152985
82,bandar-e lengeh,26.5579,54.8807,82.4,69,11,4.61,IR,1619153064
83,pevek,69.7008,170.3133,26.6,84,62,1.36,RU,1619153064
84,norman wells,65.282,-126.8329,26.6,54,75,5.75,CA,1619153064
85,ornskoldsvik,63.2909,18.7153,32.0,55,75,16.11,SE,1619152870
86,christchurch,-43.5333,172.6333,66.0,52,77,3.44,NZ,1619152951
87,bonavista,48.6499,-53.1147,42.8,93,100,5.75,CA,1619153065
88,busselton,-33.65,115.3333,72.0,54,70,1.01,AU,1619153065
89,albany,42.6001,-73.9662,37.0,45,8,1.01,US,1619152470
90,souillac,-20.5167,57.5167,73.4,94,75,11.5,MU,1619153076
91,kargasok,59.0556,80.8572,37.42,78,11,4.14,RU,1619152912
92,vankleek hill,45.5168,-74.6493,37.0,55,7,6.91,CA,1619153076
93,victoria,22.2855,114.1577,86.0,62,1,7.0,HK,1619153000
94,dikson,73.5069,80.5464,32.25,97,100,22.03,RU,1619153077
95,dongsheng,39.8161,109.9776,66.45,29,95,20.83,CN,1619153077
96,xai-xai,-25.0519,33.6442,65.5,88,1,4.21,MZ,1619153077
97,zhuhai,22.2769,113.5678,96.01,78,20,10.36,CN,1619153078
98,spring valley,36.108,-115.245,75.2,7,20,8.05,US,1619152995
99,itoman,26.1247,127.6694,69.8,88,75,25.32,JP,1619153078
100,taldan,53.6667,124.8,38.28,31,38,11.3,RU,1619152850
101,sinop,41.7711,34.8709,51.8,82,0,14.97,TR,1619153079
102,fortuna,40.5982,-124.1573,50.0,93,1,5.75,US,1619153079
103,yellowknife,62.456,-114.3525,14.0,62,90,11.5,CA,1619152849
104,rangapara,26.8167,92.65,91.56,31,1,6.71,IN,1619153080
105,santa isabel do rio negro,-0.4139,-65.0192,73.8,98,100,1.48,BR,1619153080
106,port blair,11.6667,92.75,86.72,56,98,4.88,IN,1619153081
107,mar del plata,-38.0023,-57.5575,68.0,94,100,5.75,AR,1619152944
108,wewak,-3.5534,143.6268,79.14,87,100,1.86,PG,1619153081
109,viedma,-40.8135,-62.9967,58.62,66,64,6.93,AR,1619152873
110,sao borja,-28.6606,-56.0044,64.98,70,90,7.49,BR,1619153082
111,talaya,61.3833,152.75,29.98,88,100,5.77,RU,1619153082
112,roshchino,60.2519,29.6085,44.01,87,0,8.95,RU,1619153083
113,biltine,14.5333,20.9167,85.17,15,92,15.17,TD,1619153083
114,port-gentil,-0.7193,8.7815,76.82,83,89,13.0,GA,1619153083
115,isla vista,34.4133,-119.861,55.4,76,1,6.91,US,1619153084
116,mount gambier,-37.8333,140.7667,59.0,67,90,10.36,AU,1619153084
117,pochutla,15.7432,-96.4661,82.99,66,8,2.91,MX,1619153084
118,qaanaaq,77.484,-69.3632,18.36,91,100,8.57,GL,1619153085
119,westport,41.1415,-73.3579,39.2,52,20,11.5,US,1619153085
120,jamestown,42.097,-79.2353,30.2,86,1,13.8,US,1619152940
121,castro,-24.7911,-50.0119,50.38,96,21,3.36,BR,1619153086
122,batticaloa,7.7102,81.6924,85.91,65,4,5.03,LK,1619153086
123,yar-sale,66.8333,70.8333,34.57,96,83,16.4,RU,1619153086
124,xining,36.6167,101.7667,61.83,47,98,9.26,CN,1619152903
125,acajutla,13.5928,-89.8275,75.0,82,60,5.93,SV,1619153087
126,mabaruma,8.2,-59.7833,72.72,98,100,2.59,GY,1619152860
127,east london,-33.0153,27.9116,59.0,94,0,4.61,ZA,1619153087
128,krasnoselkup,65.7,82.4667,32.83,94,68,19.35,RU,1619153088
129,de aar,-30.6497,24.0123,57.36,37,57,2.46,ZA,1619153088
130,lagoa,39.05,-27.9833,56.62,80,8,38.65,PT,1619152789
131,buzim,45.0547,16.0319,50.0,33,100,7.0,BA,1619153042
132,te anau,-45.4167,167.7167,48.74,95,100,4.18,NZ,1619152880
133,iquitos,-3.7481,-73.2472,75.2,94,40,3.44,PE,1619152846
134,college,64.8569,-147.8028,53.6,42,20,11.5,US,1619153089
135,pontianak,-0.0333,109.3333,87.8,70,75,8.05,ID,1619152931
136,hobyo,5.3505,48.5268,85.53,63,100,9.55,SO,1619153100
137,santa isabel,-23.3156,-46.2214,59.0,100,75,0.31,BR,1619153100
138,mount isa,-20.7333,139.5,84.2,16,8,9.22,AU,1619153004
139,margate,51.3813,1.3862,43.0,82,3,1.99,GB,1619153100
140,san javier,37.8063,-0.8374,59.0,100,90,4.61,ES,1619153101
141,gatesville,31.4352,-97.7439,61.0,88,75,8.05,US,1619152945
142,letnyaya stavka,45.4306,43.4472,53.85,79,71,12.93,RU,1619153101
143,kaitangata,-46.2817,169.8464,55.99,74,100,7.0,NZ,1619153103
144,lasa,46.6166,10.7002,43.0,87,0,6.91,IT,1619153104
145,bilibino,68.0546,166.4372,28.98,84,94,0.65,RU,1619153104
146,kahului,20.8947,-156.47,78.8,61,20,17.27,US,1619152852
